frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
888,0,653,630,874,757,0.760404,0.999969,0.000031,orange,0.999969
891,0,653,630,874,757,0.787326,0.999969,0.000031,orange,0.999969
894,0,656,629,874,757,0.660094,0.999994,0.000006,orange,0.999994
894,1,718,630,873,755,0.252663,1.000000,0.000000,orange,1.000000
897,0,657,629,874,757,0.728528,0.999965,0.000035,orange,0.999965
897,1,719,630,873,756,0.167259,1.000000,0.000000,orange,1.000000
900,0,642,630,874,763,0.730654,0.999994,0.000006,orange,0.999994
903,0,642,630,874,763,0.732023,0.999994,0.000006,orange,0.999994
906,0,657,629,874,757,0.523619,0.999908,0.000092,orange,0.999908
906,1,721,630,873,755,0.344922,1.000000,0.000000,orange,1.000000
909,0,657,629,874,757,0.580474,0.999905,0.000095,orange,0.999905
909,1,721,630,873,755,0.310661,1.000000,0.000000,orange,1.000000
912,0,658,630,873,757,0.820795,0.999998,0.000002,orange,0.999998
915,0,658,630,873,757,0.805144,0.999998,0.000002,orange,0.999998
918,0,658,630,874,757,0.857145,1.000000,0.000000,orange,1.000000
921,0,658,630,873,757,0.863231,0.999997,0.000003,orange,0.999997
924,0,659,631,873,757,0.876715,0.999999,0.000001,orange,0.999999
927,0,659,631,873,757,0.874364,0.999999,0.000001,orange,0.999999
930,0,660,631,873,757,0.861711,0.999939,0.000061,orange,0.999939
933,0,660,631,873,757,0.864964,0.999937,0.000063,orange,0.999937
936,0,660,632,873,757,0.875057,0.999924,0.000076,orange,0.999924
939,0,660,632,873,757,0.871873,0.999920,0.000080,orange,0.999920
942,0,660,632,874,757,0.860467,0.999961,0.000039,orange,0.999961
945,0,660,632,873,757,0.857652,0.999948,0.000053,orange,0.999948
948,0,660,632,873,757,0.870194,0.999940,0.000060,orange,0.999940
951,0,660,632,873,757,0.866897,0.999939,0.000061,orange,0.999939
954,0,660,632,872,757,0.870553,0.999997,0.000003,orange,0.999997
957,0,660,632,872,757,0.872839,0.999997,0.000003,orange,0.999997
960,0,660,632,872,757,0.850402,0.999998,0.000002,orange,0.999998
963,0,660,632,872,757,0.844855,0.999997,0.000003,orange,0.999997
966,0,661,632,872,757,0.801613,0.999964,0.000036,orange,0.999964
969,0,660,632,873,757,0.808303,0.999962,0.000038,orange,0.999962
972,0,660,632,871,757,0.824321,0.999996,0.000004,orange,0.999996
975,0,660,632,871,757,0.821158,0.999996,0.000004,orange,0.999996
978,0,660,632,873,757,0.824389,0.999957,0.000043,orange,0.999957
981,0,660,632,873,757,0.817193,0.999957,0.000043,orange,0.999957
984,0,660,632,873,757,0.853463,0.999957,0.000043,orange,0.999957
987,0,660,632,873,757,0.850779,0.999958,0.000042,orange,0.999958
990,0,659,632,872,757,0.884923,0.999998,0.000002,orange,0.999998
993,0,659,632,872,757,0.884854,0.999998,0.000002,orange,0.999998
996,0,659,632,872,757,0.883407,0.999998,0.000002,orange,0.999998
999,0,659,632,872,757,0.883258,0.999998,0.000002,orange,0.999998
1002,0,658,632,872,757,0.867187,0.999992,0.000008,orange,0.999992
1005,0,658,632,872,757,0.869295,0.999992,0.000008,orange,0.999992
1008,0,658,632,872,757,0.860515,0.999992,0.000008,orange,0.999992
1011,0,658,632,872,757,0.866571,0.999992,0.000008,orange,0.999992
1014,0,659,632,871,757,0.869775,0.999992,0.000008,orange,0.999992
1017,0,659,632,871,757,0.874681,0.999992,0.000008,orange,0.999992
1020,0,659,632,871,757,0.872331,0.999992,0.000008,orange,0.999992
1023,0,659,632,871,757,0.876611,0.999991,0.000009,orange,0.999991
1026,0,659,632,871,757,0.855050,0.999992,0.000008,orange,0.999992
1029,0,659,632,871,757,0.862099,0.999991,0.000009,orange,0.999991
1032,0,662,632,871,757,0.793173,0.999995,0.000005,orange,0.999995
1035,0,662,632,871,757,0.811301,0.999995,0.000005,orange,0.999995
1038,0,660,633,871,756,0.815909,0.999999,0.000001,orange,0.999999
1041,0,660,633,870,756,0.763959,1.000000,0.000000,orange,1.000000
1044,0,660,633,871,756,0.769822,0.999999,0.000001,orange,0.999999
1047,0,660,633,871,756,0.757056,0.999999,0.000001,orange,0.999999
1050,0,660,633,871,756,0.768493,0.999999,0.000001,orange,0.999999
1053,0,660,633,871,756,0.770522,0.999999,0.000001,orange,0.999999
1056,0,659,633,872,756,0.705519,0.999999,0.000001,orange,0.999999
1059,0,659,633,872,756,0.704510,0.999999,0.000001,orange,0.999999
1062,0,659,632,870,756,0.732779,0.999965,0.000035,orange,0.999965
1062,1,720,632,870,755,0.208281,1.000000,0.000000,orange,1.000000
1065,0,659,632,871,756,0.750295,0.999993,0.000007,orange,0.999993
1065,1,720,632,870,755,0.182431,1.000000,0.000000,orange,1.000000
1068,0,659,633,872,756,0.733561,0.999999,0.000001,orange,0.999999
1071,0,659,633,872,756,0.740965,0.999999,0.000001,orange,0.999999
1074,0,660,632,872,756,0.636115,0.999998,0.000002,orange,0.999998
1077,0,660,632,873,756,0.646603,0.999964,0.000036,orange,0.999964
1080,0,655,634,876,758,0.536571,0.999982,0.000018,orange,0.999982
1080,1,719,634,874,756,0.208449,1.000000,0.000000,orange,1.000000
1080,2,1059,603,1739,1071,0.161076,1.000000,0.000000,orange,1.000000
1083,0,654,634,876,758,0.476544,0.999994,0.000006,orange,0.999994
1083,1,718,634,874,756,0.168917,1.000000,0.000000,orange,1.000000
1083,2,1064,602,1717,1071,0.112211,1.000000,0.000000,orange,1.000000
1086,0,660,635,874,757,0.493817,0.999940,0.000060,orange,0.999940
1086,1,1058,605,1656,1071,0.117753,1.000000,0.000000,orange,1.000000
1089,0,660,635,874,757,0.571756,0.999936,0.000064,orange,0.999936
1089,1,1059,606,1665,1071,0.194412,1.000000,0.000000,orange,1.000000
1092,0,659,634,873,757,0.697952,0.999998,0.000002,orange,0.999998
1095,0,659,634,873,756,0.699274,0.999997,0.000003,orange,0.999997
1098,0,659,634,873,756,0.731477,0.999998,0.000002,orange,0.999998
1101,0,659,634,873,756,0.744081,0.999997,0.000002,orange,0.999997
1104,0,660,634,873,756,0.732211,0.999915,0.000085,orange,0.999915
1107,0,660,634,873,756,0.741197,0.999906,0.000094,orange,0.999906
1110,0,660,634,872,756,0.729260,0.999998,0.000002,orange,0.999998
1113,0,659,634,872,756,0.747640,0.999996,0.000004,orange,0.999996
1116,0,653,634,872,757,0.864366,0.999866,0.000134,orange,0.999866
1119,0,653,634,872,757,0.852773,0.999860,0.000140,orange,0.999860
1122,0,654,634,872,758,0.835663,0.999817,0.000183,orange,0.999817
1125,0,653,634,872,758,0.831186,0.999847,0.000153,orange,0.999847
1128,0,654,634,872,757,0.843559,0.999848,0.000152,orange,0.999848
1131,0,653,634,872,758,0.848645,0.999842,0.000158,orange,0.999842
1134,0,654,634,872,757,0.854968,0.999849,0.000151,orange,0.999849
1137,0,654,634,872,757,0.861333,0.999846,0.000154,orange,0.999846
1140,0,655,634,870,757,0.863463,0.999927,0.000073,orange,0.999927
1143,0,654,634,870,757,0.873972,0.999894,0.000106,orange,0.999894
1146,0,655,628,866,757,0.878012,0.999741,0.000259,orange,0.999741
1149,0,654,628,866,757,0.880450,0.999924,0.000076,orange,0.999924
1152,0,650,619,864,758,0.741261,0.996764,0.003236,orange,0.996764
1152,1,717,619,863,757,0.123563,1.000000,0.000000,orange,1.000000
1155,0,650,619,863,759,0.696950,0.997500,0.002500,orange,0.997500
1155,1,718,619,863,757,0.135730,1.000000,0.000000,orange,1.000000
1158,0,646,612,863,760,0.689488,0.954154,0.045846,orange,0.954154
1161,0,644,612,863,761,0.679756,0.994034,0.005966,orange,0.994034
1164,0,644,610,857,761,0.814607,0.981842,0.018158,orange,0.981842
1167,0,642,610,857,761,0.803994,0.957592,0.042409,orange,0.957592
1170,0,642,607,853,759,0.748426,0.992106,0.007894,orange,0.992106
1173,0,640,608,853,760,0.736446,0.994721,0.005279,orange,0.994721
1176,0,646,607,854,759,0.726224,0.988429,0.011571,orange,0.988429
1176,1,716,607,854,757,0.124650,0.999942,0.000058,orange,0.999942
1179,0,639,607,854,760,0.695427,0.979868,0.020131,orange,0.979868
1179,1,717,607,854,757,0.151935,0.999921,0.000078,orange,0.999921
1182,0,647,607,854,759,0.705725,0.994243,0.005757,orange,0.994243
1182,1,715,607,854,757,0.158066,0.999933,0.000067,orange,0.999933
1185,0,644,607,854,759,0.682174,0.993105,0.006895,orange,0.993105
1185,1,716,607,854,757,0.176220,0.999953,0.000047,orange,0.999953
1188,0,651,607,854,758,0.776250,0.997900,0.002100,orange,0.997900
1188,1,717,607,854,757,0.108958,0.999920,0.000080,orange,0.999920
1191,0,650,607,854,759,0.752689,0.979623,0.020377,orange,0.979623
1191,1,717,607,854,757,0.133865,0.999914,0.000086,orange,0.999914
1194,0,651,607,854,758,0.773470,0.997983,0.002017,orange,0.997983
1194,1,717,607,854,757,0.100407,0.999936,0.000064,orange,0.999936
1197,0,649,607,854,759,0.738456,0.996021,0.003979,orange,0.996021
1197,1,717,607,854,757,0.144550,0.999932,0.000068,orange,0.999932
1200,0,648,608,854,759,0.698656,0.997861,0.002139,orange,0.997861
1200,1,717,607,854,757,0.170485,0.999938,0.000062,orange,0.999938
1203,0,648,608,854,759,0.704655,0.997859,0.002141,orange,0.997859
1203,1,717,607,854,757,0.161306,0.999937,0.000063,orange,0.999937
